Product,SKU,Brand,Product Line,Classification,Shelf Inventory,Wholesale Price,Amount Sold (Units),Product
Lemon Cloud (Infused Distillate Luster Pod .84g),7253lemoncloudLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,100,$400.00 ,240,Lemon Cloud (Infused Distillate Luster Pod .84g)
Legendary Larry (CO2 Full Spectrum Luster Pod .84g),7378legendlarryLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,0,$400.00 ,240,Legendary Larry (CO2 Full Spectrum Luster Pod .84g)
Animal Mints (Live Rosin Badder .3g),9117animalmintsBAD3,Pure Ohio Wellness,Badder (Live Rosin),Medical,0,$180.00 ,240,Animal Mints (Live Rosin Badder .3g)
Durban Poison (CO2 Full Spectrum 510 Cartridge .84g),7594durbanpoison510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,0,$400.00 ,240,Durban Poison (CO2 Full Spectrum 510 Cartridge .84g)
Gelato (CO2 Full Spectrum 510 Cartridge .84g),7258gelato510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,0,$400.00 ,240,Gelato (CO2 Full Spectrum 510 Cartridge .84g)
Legendary Larry (CO2 Full Spectrum 510 Cartridge .84g),7475legendlarry510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,0,$400.00 ,240,Legendary Larry (CO2 Full Spectrum 510 Cartridge .84g)
Amarelo (CO2 Full Spectrum 510 Cartridge .84g),7681amarelo510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,60,$400.00 ,220,Amarelo (CO2 Full Spectrum 510 Cartridge .84g)
Amarelo (CO2 Full Spectrum Luster Pod .84g),7681amareloLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,60,$400.00 ,220,Amarelo (CO2 Full Spectrum Luster Pod .84g)
Blueberry Banana Pancake (Infused Distillate 510 Cartridge .84g),9947bluebanpan510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,0,$400.00 ,220,Blueberry Banana Pancake (Infused Distillate 510 Cartridge .84g)
Skunky Jack (CO2 Full Spectrum 510 Cartridge .84g),9994skunkyjack510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,0,$400.00 ,220,Skunky Jack (CO2 Full Spectrum 510 Cartridge .84g)
